Pt-0,true,1893639.25500625,1842275.06191008,1623760.66379526,967944.987224062,329432.644631136,2314587.11333868
Pt-1,true,1891913.92473281,1536384.08840254,1677763.0137059,659621.629457566,322363.582936529,2266834.97728686
Pt-2,true,1924067.48337758,1375706.99186845,2054191.59879767,487178.831131526,332479.863967238,1883323.74995613
Pt-3,true,1923629.56068332,1641775.91709247,2372405.06468353,755665.719664474,342930.286823231,1552789.84698693
Pt-4,true,1914245.43917869,1877013.74067135,2640766.22579847,996321.650239739,340264.056597735,1285138.27236945
Pt-5,true,1874131.56510017,2298353.91775929,2316707.00003336,1429065.76122882,328425.098668427,1608525.19666322
Pt-6,true,1842063.78867019,2282706.62087358,1850336.42697062,1424700.12076487,295609.185054518,2079155.80335048
Pt-7,true,1834991.04060423,2167291.14622616,1369577.99806002,1309556.35352818,292046.017604532,2572103.40833016
Pt-8,true,1788891.24138103,2374760.88948465,719636.062457347,1525356.97942829,263535.467524688,3237442.55930143
Pt-9,true,1775911.61026368,1970536.88834925,2053516.55540804,1102387.6917835,213993.55512142,1880273.69794097
Pt-10,true,1927296.90133332,2169157.73343144,2213229.99028061,1298405.42765464,373784.073914389,1714474.69637633
Pt-11,true,1807199.08279094,2222856.06380473,2275817.18835606,1356815.9326445,251348.160407272,1650377.46914457
Pt-12,true,1881493.85692915,2001052.41824827,1577836.3252081,1136615.98326676,329722.896843459,2362496.21432043
Pt-13,true,1994177.47036254,1555770.21307212,489924.946245562,684260.695684518,440551.356451051,3467248.99032685
Pt-14,true,1854501.71802263,2245654.49731279,1933621.02623722,1381064.97192735,306489.533442836,1995502.45472283
