"Pt-0","true","1690938.6808388918","1285083.038715769","1890873.0142201101","2279032.224317161","207062.36713411583","1706156.7644617301"
"Pt-1","true","1669896.9312968485","1260923.814436152","1895229.520685182","2305367.9113729587","189368.07739350185","1712329.1911154327"
"Pt-2","true","1829450.2886474733","1715135.209220148","1979371.0865515782","1824397.5406131959","291935.20466596144","1823432.678657125"
"Pt-3","true","1809102.23028027","1809311.5809686803","2001259.7147024244","1735202.6879748811","258951.6914507513","1856160.670322049"
"Pt-4","true","2367479.6147728795","2831272.85444304","2182971.8289932157","621089.6357733128","679335.2224562981","2084594.201493034"
"Pt-5","true","1971025.131865598","2755877.4334508763","2111661.412344573","771169.2525444825","282047.30741855013","2037220.9634416734"
"Pt-6","true","1733937.606424405","2773239.0425501447","3344084.8374929153","878728.8352245097","155211.28188185085","3313808.7968032034"
"Pt-7","true","1810850.6169978578","2856650.282533905","3068538.2837534593","762285.852696881","196120.7528081791","3036704.762565544"
"Pt-8","true","1671508.484231517","1870747.1650655987","1549909.0492141058","1660489.8370704832","62895.245854588866","1415291.815124942"
"Pt-9","true","1670962.3507866764","1829274.0171666888","1300348.9257373384","1684489.880279505","44452.2718248147","1155014.4308186923"
"Pt-10","true","1779380.1462932704","884487.7251203889","857116.4114858008","2590776.381899222","262863.07301351934","609695.7863052434"
