212.42,313.77,135
406.5,313.28,135
438.52,169.64,145
366.26,341.12,140
357.8,425.77,145
365.73,31.545,145
240.17,306.59,145
426.7,266.21,140
391.79,212.59,145
388.74,90.064,145
330.38,403.09,140
417.8,210.99,0
429.34,223.88,0
361.62,152.4,145
396.97,306.98,135
443.73,270.82,140
309.68,425.05,150
403.57,186.44,145
343.77,460.01,150
440.39,304.08,135
183.22,399.96,140
105.87,407.76,150
379.64,184.59,140
352.9,170.88,150
373.98,385.36,145
344.38,354.3,155
54.139,443.74,155
382.41,331.76,135
371.28,159,140
424.55,240.48,140
389.04,153.41,145
55.396,431.92,155
374.2,320.5,150
433.27,270.9,145
